ds,y
1781090878.5070486,2962
1781090878.5071445,66
1781090878.510025,2962
1781090878.5175397,1514
1781090878.521652,2962
1781090878.5241594,2962
1781090878.5350957,2962
1781090878.5380251,66
1781090878.5380392,66
1781090878.549774,66
1781090878.549963,2962
1781090878.5501845,66
1781090878.5626328,66
1781090878.562637,1514
1781090878.5627022,2962
1781090878.569315,2962
1781090878.5693119,66
1781090878.570841,66
1781090878.5912166,2962
1781090878.5914474,66
1781090878.5988004,2962
1781090878.598891,66
1781090878.611701,66
1781090878.612501,2962
1781090878.6125286,2962
1781090878.6217222,66
1781090878.6320927,2962
1781090878.6322038,66
1781090878.6396966,2962
1781090878.6397521,66
1781090878.6543067,2962
1781090878.6550562,66
1781090878.6731067,66
1781090878.6731417,66
1781090878.673144,66
1781090878.673146,2962
1781090878.6731994,2962
1781090878.680512,66
1781090878.6822512,2962
1781090878.6823144,66
1781090878.6976771,2962
1781090878.6977515,66
1781090878.7105305,2962
1781090878.7105796,66
1781090878.723731,66
1781090878.7237387,2962
1781090878.7237756,2962
1781090878.733411,66
1781090878.7375066,2962
1781090878.7375648,66
1781090878.7520697,66
1781090878.7520807,2962
1781090878.752107,2962
1781090878.7592773,66
1781090878.7654426,2962
1781090878.765461,66
1781090878.77898,2962
1781090878.779053,66
1781090878.7929316,2962
1781090878.7929678,66
1781090878.806407,2962
1781090878.8064594,66
1781090878.8065028,2962
1781090878.8166828,1514
1781090878.8272424,2962
1781090878.8272445,2962
1781090878.837627,66
1781090878.8376415,2962
1781090878.8376293,66
1781090878.8377662,66
1781090878.8447602,2962
1781090878.84801,66
1781090878.8484085,2962
1781090878.8514187,66
1781090878.8619866,2962
1781090878.8620126,66
1781090878.8764613,2962
1781090878.876634,66
1781090878.8908901,66
1781090878.8909001,1514
1781090878.890921,2962
1781090878.896728,2962
1781090878.8977036,66
1781090878.8980043,66
1781090878.910792,2962
1781090878.9109342,66
1781090879.4956567,66
1781090879.4958851,2962
1781090879.4960027,2962
1781090880.4971387,2962
1781090880.4975855,66
1781090880.498566,66
1781090880.5079868,1514
1781090880.5081983,78
1781090880.5182908,66
1781090880.5184095,66
1781090880.5184124,2962
1781090880.518455,2962
1781090880.525741,2962
1781090880.5257387,66
1781090880.5258,66
1781090880.539318,2962
1781090880.5393996,66
1781090880.5534933,2962
1781090880.5535195,66
1781090880.5665073,2962
1781090880.5669153,66
1781090880.5675893,52
1781090880.5675921,2962
1781090880.5807295,2962
1781090880.5813332,2962
1781090880.5876875,66
1781090880.587689,66
1781090880.595287,66
1781090880.5954988,2962
1781090880.595532,66
1781090880.609426,2962
1781090880.609457,66
1781090880.6240702,2962
1781090880.624217,66
1781090880.6261032,1514
1781090880.6261084,2962
1781090880.6370122,2962
1781090880.6399672,2962
1781090880.650583,66
1781090880.6505866,2962
1781090880.6538832,66
1781090880.653884,66
1781090880.673216,66
1781090880.6739833,66
1781090880.673987,2962
1781090880.6743436,66
1781090880.681049,2962
1781090880.6810677,66
1781090880.695271,2962
1781090880.6952896,66
1781090880.7092755,2962
1781090880.7092953,66
1781090880.7128754,2962
1781090880.7200923,2962
1781090880.722673,2962
1781090880.7338185,66
1781090880.7361486,2962
1781090880.736224,66
1781090880.7497394,2962
1781090880.7498376,66
1781090880.7635863,66
1781090880.763808,1514
1781090880.7640684,2962
1781090880.7709632,2962
1781090880.770962,66
1781090880.77099,66
1781090880.7846901,2962
1781090880.7848015,66
1781090880.7985668,2962
1781090880.7986417,66
1781090880.81215,66
1781090880.812276,2962
1781090880.813324,66
1781090880.8133276,2962
1781090880.8189723,66
1781090880.8265529,66
1781090880.8266218,2962
1781090880.8273513,2962
1781090880.8331692,66
1781090880.8405292,2962
1781090880.840591,66
1781090880.8547704,66
1781090880.854822,66
1781090880.8550243,2962
1781090880.855033,66
1781090880.8689184,2962
1781090880.869011,66
1781090880.8826773,2962
1781090880.882696,66
1781090880.896275,2962
1781090880.896356,66
1781090880.897163,1514
1781090880.8971665,2962
1781090880.9108393,66
1781090880.910924,2962
1781090880.9109273,2962
1781090880.9244516,2962
1781090880.9245226,66
1781090880.9248912,66
1781090880.9381168,66
1781090880.9387136,2962
1781090880.9388623,66
1781090880.9523308,2962
1781090880.9524066,66
1781090880.9654837,2962
1781090880.9658992,2962
1781090880.9720998,2962
