ds,y
1781090878.430763,66
1781090878.5000963,2962
1781090878.5008252,66
1781090878.500849,2962
1781090878.5070403,2962
1781090878.5083401,66
1781090878.5216453,1514
1781090878.5273163,1514
1781090878.5272813,2962
1781090878.5351636,2962
1781090878.5401196,66
1781090878.540133,2962
1781090878.5417297,66
1781090878.5505242,66
1781090878.5528867,66
1781090878.552922,66
1781090878.5529058,66
1781090878.5542908,2962
1781090878.5679471,2962
1781090878.5708816,66
1781090878.5912104,2962
1781090878.591674,66
1781090878.5916972,2962
1781090878.598787,2962
1781090878.599625,66
1781090878.6058931,2962
1781090878.6115367,66
1781090878.6115406,2962
1781090878.6222932,66
1781090878.632082,66
1781090878.6321282,2962
1781090878.6335444,66
1781090878.6374598,66
1781090878.6374679,2962
1781090878.6396859,2962
1781090878.6542845,2962
1781090878.6550095,66
1781090878.6564312,2962
1781090878.665859,66
1781090878.6659918,66
1781090878.6660163,2962
1781090878.678892,66
1781090878.6788955,2962
1781090878.6805394,66
1781090878.693477,2962
1781090878.693442,2962
1781090878.700555,66
1781090878.7052255,66
1781090878.7052503,2962
1781090878.7107925,66
1781090878.7184901,2962
1781090878.7228184,66
1781090878.7228382,2962
1781090878.7334166,2962
1781090878.7377558,66
1781090878.7449124,2962
1781090878.7567124,1514
1781090878.7579114,66
1781090878.7579193,2962
1781090878.7655272,2962
1781090878.7714198,66
1781090878.7714245,66
1781090878.7720597,66
1781090878.7720792,2962
1781090878.779135,66
1781090878.7824574,66
1781090878.7824593,66
1781090878.7849214,2962
1781090878.7932146,66
1781090878.7983398,2962
1781090878.8003023,66
1781090878.8007517,2962
1781090878.8166802,2962
1781090878.8273125,1514
1781090878.827373,2962
1781090878.837621,2962
1781090878.8377542,66
1781090878.8378053,66
1781090878.843953,66
1781090878.8443944,66
1781090878.8447657,2962
1781090878.853117,66
1781090878.8531191,2962
1781090878.8576207,2962
1781090878.8620784,66
1781090878.873332,2962
1781090878.876943,66
1781090878.8840103,66
1781090878.8845875,2962
1781090878.8963213,66
1781090878.8971522,2962
1781090878.897702,2962
1781090878.9107885,66
1781090878.9109375,66
1781090878.910947,2962
1781090879.4959714,2962
1781090879.4960225,66
1781090880.4971,1514
1781090880.497112,2962
1781090880.498586,66
1781090880.498599,66
1781090880.4986076,66
1781090880.508227,78
1781090880.5182862,2962
1781090880.5257642,2962
1781090880.5257325,2962
1781090880.5393145,2962
1781090880.5395331,66
1781090880.5417023,66
1781090880.5424798,52
1781090880.544302,66
1781090880.5443041,1514
1781090880.5515676,66
1781090880.5516057,2962
1781090880.5515888,2962
1781090880.5582078,66
1781090880.5646465,66
1781090880.5646484,66
1781090880.5652082,2962
1781090880.5815167,2962
1781090880.5876954,66
1781090880.587698,66
1781090880.5920043,2962
1781090880.6029801,2962
1781090880.604703,2962
1781090880.609583,66
1781090880.619523,2962
1781090880.6224008,66
1781090880.6224053,2962
1781090880.632871,66
1781090880.6328726,2962
1781090880.6383173,66
1781090880.6389377,2962
1781090880.644445,66
1781090880.6444473,2962
1781090880.6540484,66
1781090880.654051,66
1781090880.657811,66
1781090880.657902,2962
1781090880.6736906,2962
1781090880.6742609,2962
1781090880.6805444,66
1781090880.6841478,66
1781090880.6841486,2962
1781090880.6953542,66
1781090880.6975057,2962
1781090880.7070723,2962
1781090880.7115543,66
1781090880.71346,66
1781090880.7134728,2962
1781090880.725219,66
1781090880.7252223,66
1781090880.7252238,2962
1781090880.7252433,1514
1781090880.7313392,2962
1781090880.736232,66
1781090880.7435584,66
1781090880.7441025,2962
1781090880.7498481,66
1781090880.757059,2962
1781090880.7693408,1514
1781090880.7703643,66
1781090880.770996,66
1781090880.7710042,2962
1781090880.7771487,2962
1781090880.7835572,66
1781090880.7945418,2962
1781090880.794564,66
1781090880.7986515,2962
1781090880.8007805,66
1781090880.8055875,2962
1781090880.8122585,66
1781090880.8185966,2962
1781090880.8191097,66
1781090880.8297465,2962
1781090880.8311825,2962
1781090880.836789,66
1781090880.8444068,66
1781090880.8449364,2962
1781090880.8474958,66
1781090880.8474994,2962
1781090880.856252,66
1781090880.8577158,2962
1781090880.8647563,66
1781090880.8690162,66
1781090880.8710544,66
1781090880.8712556,2962
1781090880.8824325,2962
1781090880.884647,2962
1781090880.896361,66
1781090880.897525,66
1781090880.8978455,2962
1781090880.8991096,66
1781090880.9021018,2962
1781090880.9109285,2962
1781090880.9170542,66
1781090880.9172778,2962
1781090880.923972,66
1781090880.924521,2962
1781090880.924586,66
1781090880.924895,66
1781090880.9375722,2962
1781090880.9388757,66
1781090880.9506252,66
1781090880.9508424,2962
1781090880.9644816,2962
1781090880.9702926,1514
1781090880.9781172,66
1781090880.9781494,2962
1781090880.978174,66
1781090880.9873338,66
1781090880.987405,2962
1781090880.9952512,66
1781090880.9952636,2962
1781090880.9953241,66
1781090880.9953263,2962
1781090881.0071077,2962
1781090881.0075405,66
1781090881.0201137,66
1781090881.0225668,2962
1781090881.0236354,66
1781090881.033661,2962
1781090881.0495102,66
1781090881.0495667,2962
1781090881.049584,1514
1781090881.053048,2962
1781090881.056369,66
1781090881.0645015,2962
1781090881.0664344,66
1781090881.0664353,2962
1781090881.0774348,66
1781090881.0806127,2962
1781090881.08247,66
1781090881.0910704,66
1781090881.0928497,66
1781090881.0931008,2962
1781090881.1071093,2962
1781090881.1081567,66
1781090881.1195745,2962
1781090881.1259172,2962
1781090881.138759,66
1781090881.1387746,66
1781090881.1388254,2962
1781090881.1472218,2962
1781090881.1474583,66
1781090881.147705,2962
1781090881.154402,66
1781090881.1637754,66
1781090881.1637862,66
1781090881.163792,2962
1781090881.1638436,2962
1781090881.1742074,66
1781090881.174486,66
1781090881.1745117,2962
1781090881.181623,66
1781090881.18732,2962
1781090881.1961672,1514
1781090881.1996272,66
1781090881.1996303,2962
1781090881.2029877,66
1781090881.2052636,66
1781090881.2052686,2962
1781090881.214046,2962
1781090881.2237172,66
1781090881.225831,66
1781090881.2258332,2962
1781090881.2375786,66
1781090881.2387738,2962
1781090881.2395048,2962
1781090881.2525973,2962
1781090881.2560673,66
1781090881.2568421,2962
1781090881.2658122,66
1781090881.2658274,66
1781090881.2744744,66
1781090881.2744784,2962
1781090881.2746966,66
1781090881.276966,2962
1781090881.281612,66
1781090881.2816155,66
1781090881.2838125,2962
1781090881.292945,66
1781090881.298484,2962
1781090881.308689,2962
1781090881.309702,2962
1781090881.3208053,66
1781090881.3229349,1514
1781090881.329589,2962
1781090881.334386,66
1781090881.3425379,66
1781090881.3426616,2962
1781090881.3426511,2962
1781090881.3559744,2962
1781090881.3605416,66
1781090881.3605485,66
1781090881.3619897,66
1781090881.3689017,66
1781090881.3692632,2962
1781090881.3755841,66
1781090881.3789377,2962
1781090881.382498,2962
1781090881.3959029,2962
1781090881.3958945,2962
1781090881.409248,66
1781090881.4092603,66
1781090881.409261,2962
1781090881.4100409,66
1781090881.4187195,66
1781090881.4224951,2962
1781090881.4319592,66
1781090881.4361608,2962
1781090881.4382546,66
1781090881.4389694,66
1781090881.4389713,66
1781090881.439285,2962
1781090881.4488587,2962
1781090881.4571836,2962
1781090881.462118,66
1781090881.462119,2962
1781090881.4754202,66
1781090881.4803917,2962
1781090881.4895067,66
1781090881.4895155,66
1781090881.489479,2962
1781090881.4931464,66
1781090881.4931536,2962
1781090881.5020025,2962
1781090881.5080442,66
1781090881.514813,66
1781090881.5153363,2962
1781090881.522191,66
1781090881.5257432,2962
1781090881.528353,2962
1781090881.5421278,66
1781090881.5435534,66
1781090881.5435596,2962
1781090881.5435774,2962
1781090881.555074,66
1781090881.5635688,2962
1781090881.569518,66
1781090881.569522,66
1781090881.570426,2962
1781090881.5786483,1514
1781090881.5792415,52
1781090881.587823,2962
1781090881.5878983,66
1781090881.5885894,2962
1781090881.59658,66
1781090881.5965858,1514
1781090881.6035485,2962
1781090881.6046774,66
1781090881.6046865,2962
1781090881.61124,66
1781090881.6202247,2962
1781090881.6203754,66
1781090881.6297126,66
1781090881.6297147,2962
1781090881.639264,66
1781090881.6426382,2962
1781090881.6478684,66
1781090881.6559243,2962
1781090881.6565886,2962
1781090881.6689699,66
1781090881.6739233,66
1781090881.6739254,2962
1781090881.6739407,2962
1781090881.680526,66
1781090881.6830373,66
1781090881.6830387,2962
1781090881.6899784,66
1781090881.696557,2962
1781090881.7091267,66
1781090881.7091298,66
1781090881.7091153,2962
1781090881.7095952,2962
1781090881.7186759,66
1781090881.7225263,66
1781090881.722532,2962
1781090881.7274652,2962
1781090881.7357428,66
1781090881.7364616,66
1781090881.7364802,2962
1781090881.7444875,66
1781090881.7445126,66
1781090881.7496588,2962
1781090881.7632189,66
1781090881.7632506,1514
1781090881.7691948,2962
1781090881.7720618,2962
1781090881.7817001,2962
1781090881.7948537,66
1781090881.7952948,2962
1781090881.799014,66
1781090881.8007662,66
1781090881.8055928,2962
1781090881.80845,2962
1781090881.8191204,66
1781090881.8217013,2962
1781090881.822004,66
1781090881.8226035,66
1781090881.8351035,66
1781090881.835105,2962
1781090881.8414192,66
1781090881.8414288,2962
1781090881.848701,66
1781090881.8518686,66
1781090881.8518822,2962
1781090881.8583927,2962
1781090881.8614674,66
1781090881.8718584,66
1781090881.871934,2962
1781090881.8856025,2322
1781090881.8863971,66
1781090881.8902192,2962
1781090881.8930433,2962
1781090881.8994563,66
1781090881.9024985,1514
1781090881.9089332,2962
1781090881.922357,66
1781090881.927382,2962
1781090881.927405,66
1781090881.9431088,66
1781090881.944597,66
1781090881.944599,66
1781090881.9453197,2962
1781090881.9453578,66
1781090881.9536617,66
1781090881.9536767,66
1781090881.9797122,2962
1781090881.9798043,66
1781090881.9996328,1514
1781090882.0063753,2962
1781090882.0065978,2962
1781090882.013839,66
1781090882.048427,2962
1781090882.0487146,66
1781090882.0828447,66
1781090882.0828865,2962
1781090882.0837383,2962
1781090882.0896668,66
1781090882.1365974,66
1781090882.1367733,2962
1781090882.4977868,2962
1781090882.4977963,66
1781090882.5236642,2962
1781090882.5237958,66
1781090882.5277119,2962
1781090882.5342171,74
1781090882.53927,74
1781090882.5394073,66
1781090882.540237,2962
1781090882.541774,66
1781090882.5425131,66
1781090882.548454,2962
1781090882.5608659,2962
1781090882.5619998,66
1781090882.575238,2962
1781090882.5765684,1514
1781090882.5849357,2962
1781090882.5882807,78
1781090882.5882888,66
1781090882.5894852,2962
1781090882.591719,66
1781090882.6032596,66
1781090882.603342,2962
1781090882.6374733,66
1781090882.6375008,2962
1781090882.6387453,74
1781090882.6428173,66
1781090882.6443887,74
1781090882.6443956,2962
1781090882.6546643,2962
