ds,y
1781090878.3896556,66
1781090878.3901446,66
1781090878.3906095,2962
1781090878.390613,2962
1781090878.4069793,2962
1781090878.4071295,66
1781090878.4071748,2962
1781090878.4236748,66
1781090878.4237535,66
1781090878.425023,66
1781090878.4250262,66
1781090878.4250276,2962
1781090878.4250324,2962
1781090878.5002594,66
1781090878.5007532,2962
1781090878.5070884,2962
1781090878.509704,2962
1781090878.515973,66
1781090878.516094,2962
1781090878.5272756,1514
1781090878.5338938,1514
1781090878.5351021,66
1781090878.5351133,2962
1781090878.5417225,1514
1781090878.5499456,2962
1781090878.5528822,66
1781090878.552901,66
1781090878.552903,1514
1781090878.5626123,2962
1781090878.5679545,2962
1781090878.5912237,66
1781090878.5913272,66
1781090878.5913296,66
1781090878.5913315,66
1781090878.591334,2962
1781090878.5912025,66
1781090878.5913205,66
1781090878.5913231,2962
1781090878.6056147,66
1781090878.605859,2962
1781090878.6056075,2962
1781090878.6173925,2962
1781090878.621732,66
1781090878.6222517,66
1781090878.6222632,2962
1781090878.6373677,66
1781090878.6373723,66
1781090878.6373744,66
1781090878.6373765,66
1781090878.6373868,2962
1781090878.6385171,66
1781090878.6397767,66
1781090878.6548715,2962
1781090878.6543021,66
1781090878.6543415,2962
1781090878.6661143,66
1781090878.6661205,2962
1781090878.6731262,2962
1781090878.6805184,2962
1781090878.693431,2962
1781090878.6976867,66
1781090878.6977086,66
1781090878.7052193,66
1781090878.705271,66
1781090878.7052457,2962
1781090878.7185237,2962
1781090878.722774,66
1781090878.722789,2962
1781090878.7276073,2962
1781090878.7394636,66
1781090878.7394743,2962
1781090878.744906,66
1781090878.7449229,2962
1781090878.7567012,1514
1781090878.7612581,2962
1781090878.7654452,2962
1781090878.7785532,66
1781090878.7785609,66
1781090878.7789838,66
1781090878.7797358,66
1781090878.7823977,66
1781090878.7824025,66
1781090878.782969,2962
1781090878.7983508,2962
1781090878.8002853,66
1781090878.8002925,66
1781090878.8007457,2962
1781090878.8064718,66
1781090878.8166745,2962
1781090878.8273137,1514
1781090878.82724,66
1781090878.8273249,2962
1781090878.8376243,2962
1781090878.8376324,2962
1781090878.8503525,1514
1781090878.8529034,66
1781090878.8531091,2962
1781090878.859125,2962
1781090878.873329,66
1781090878.873342,1514
1781090878.8765264,66
1781090878.8765776,66
1781090878.8769667,2962
1781090878.879098,2962
1781090878.8940568,66
1781090878.8940701,2962
1781090878.8962698,66
1781090878.8965783,66
1781090878.8971295,2962
1781090879.4955478,66
1781090879.4958816,2962
1781090879.4956503,2962
1781090880.4975874,66
1781090880.4984171,66
1781090880.4984193,66
1781090880.4984205,2962
1781090880.497583,66
1781090880.4984126,66
1781090880.498414,66
1781090880.4984155,2962
1781090880.5079966,66
1781090880.5081706,2962
1781090880.5079944,2962
1781090880.5257351,2962
1781090880.5257273,2962
1781090880.5416193,66
1781090880.5421326,66
1781090880.5421348,66
1781090880.5420687,66
1781090880.5420706,52
1781090880.5442946,2962
1781090880.5442896,66
1781090880.5442917,1514
1781090880.5515728,2962
1781090880.5603726,66
1781090880.5647497,66
1781090880.5647542,66
1781090880.5665255,2962
1781090880.5703204,66
1781090880.5703228,2962
1781090880.5807617,2962
1781090880.586137,2962
1781090880.595541,66
1781090880.6029608,2962
1781090880.604715,2962
1781090880.619541,2962
1781090880.6223729,66
1781090880.6223836,66
1781090880.6223855,2962
1781090880.6328614,66
1781090880.6328661,1514
1781090880.6382158,66
1781090880.6382182,66
1781090880.6389303,2962
1781090880.6389248,66
1781090880.638927,2962
1781090880.6560779,66
1781090880.656192,2962
1781090880.6560895,2962
1781090880.6738942,66
1781090880.6738977,66
1781090880.6738899,2962
1781090880.6743662,2962
1781090880.6899328,2962
1781090880.6913965,66
1781090880.6914475,66
1781090880.7070613,2962
1781090880.7115605,66
1781090880.712882,2962
1781090880.7215269,2962
1781090880.7251515,66
