ds,y
1781090878.4072497,2962
1781090878.4166813,1514
1781090878.4236732,2962
1781090878.4239378,66
1781090878.4254005,66
1781090878.4254038,66
1781090878.5353572,2962
1781090878.544946,2962
1781090878.5917058,66
1781090878.5922475,66
1781090878.5922568,66
1781090878.5923672,2962
1781090878.6223114,66
1781090878.6228628,2962
1781090878.6385393,66
1781090878.6385908,2962
1781090878.666126,66
1781090878.666149,2962
1781090878.6985974,66
1781090878.6986504,1514
1781090878.698661,2962
1781090878.7052941,66
1781090878.765544,2962
1781090878.7732968,2962
1781090878.7785704,66
1781090878.779131,66
1781090878.7797458,66
1781090878.8008358,2962
1781090878.8532119,2962
1781090878.860901,2962
1781090878.8769376,66
1781090878.8769414,66
1781090879.4955382,2962
1781090879.4959671,66
1781090879.4965067,52
1781090880.4986036,66
1781090880.4986396,1514
1781090880.4986424,2962
1781090880.5082102,66
1781090880.5444484,2962
1781090880.5603855,66
1781090880.560414,2962
1781090880.5647655,66
1781090880.5647678,66
1781090880.6241958,2962
1781090880.6328752,2962
1781090880.6500666,2962
1781090880.6562076,66
1781090880.6742647,66
1781090880.6743264,66
1781090880.6743593,2962
1781090880.6914566,66
1781090880.711565,66
1781090880.7116363,1514
1781090880.7116406,2962
1781090880.7284253,2962
1781090880.764155,66
1781090880.7771704,2962
1781090880.7823536,66
1781090880.7836256,66
1781090880.794572,66
1781090880.7945938,2962
1781090880.8299081,2962
1781090880.865831,66
1781090880.8658502,2962
1781090880.8826993,66
1781090880.8826876,2962
1781090880.9143639,66
1781090880.9145658,1514
1781090880.9145715,2962
1781090880.9302752,2962
1781090880.9486895,66
1781090880.9660099,66
1781090880.9953465,2962
1781090881.0006769,66
1781090881.0009878,66
1781090881.0040076,2962
1781090881.0201757,66
1781090881.0645182,2962
1781090881.0727096,2962
1781090881.0904617,66
1781090881.1238852,66
1781090881.144904,66
1781090881.1473086,2962
1781090881.147476,66
1781090881.1636407,1514
1781090881.1636827,2962
1781090881.1804276,2962
1781090881.1886265,66
1781090881.2052734,66
1781090881.2053545,2962
1781090881.22586,66
1781090881.2388117,2962
1781090881.2574954,2962
1781090881.2746556,2962
1781090881.2985563,66
1781090881.298564,66
1781090881.2985651,66
1781090881.34269,2962
1781090881.3504467,2962
1781090881.374541,66
1781090881.374551,66
1781090881.395978,2962
1781090881.403824,2962
1781090881.412859,66
1781090881.4128678,66
1781090881.4572186,2962
1781090881.4651115,2962
1781090881.4848747,66
1781090881.4932098,2962
1781090881.501059,52
1781090881.5176814,66
1781090881.525784,1514
1781090881.5257933,2962
1781090881.5360174,66
1781090881.5423045,66
1781090881.543607,2962
1781090881.571319,66
1781090881.5897772,66
1781090881.5899541,2962
1781090881.6047304,2962
1781090881.6664302,66
1781090881.6664479,2962
1781090881.669036,66
1781090881.6741767,2962
1781090881.6855867,66
1781090881.709618,2962
1781090881.7225475,66
1781090881.727483,2962
1781090881.737475,66
1781090881.8056278,2962
1781090881.8095279,66
1781090881.8134959,2962
1781090881.8584208,2962
1781090881.866095,2962
1781090881.879454,66
1781090881.8982856,66
1781090881.8983126,2962
1781090881.9140148,66
1781090881.9453344,2962
1781090881.9535573,1514
1781090881.9614599,2962
1781090881.976498,66
1781090881.9765532,66
1781090881.9797313,2962
1781090881.9965327,66
1781090882.006591,2962
1781090882.028761,66
1781090882.0459187,66
1781090882.0636725,66
1781090882.0637012,2962
1781090882.0839903,2962
1781090882.1159463,66
1781090882.5053806,1514
1781090882.5063992,66
1781090882.5069797,2962
1781090882.521956,74
1781090882.549893,66
1781090882.5499115,2962
1781090882.5854793,2962
1781090882.5883088,78
1781090882.5883107,66
1781090882.65469,2962
1781090882.6847694,74
1781090882.6848722,66
1781090882.6855457,2962
1781090883.1571949,2962
1781090883.1574018,66
1781090883.1574118,66
1781090883.164801,2962
1781090883.1781127,66
1781090883.1816292,2962
1781090883.253421,1514
1781090883.2557764,66
1781090883.2557886,1514
1781090883.2559152,66
1781090883.292385,66
1781090883.2924578,66
1781090883.2925107,2962
1781090883.3026655,2962
1781090883.3138344,66
1781090883.3612304,78
1781090883.3614419,1514
1781090883.361449,2962
1781090883.3667107,66
1781090883.376056,66
1781090883.3771498,2962
1781090883.396603,2962
1781090883.4312022,66
1781090883.4312418,1514
1781090883.4371226,2962
1781090883.449703,66
1781090883.4497452,66
1781090883.4711921,2962
1781090883.502317,66
1781090883.5183892,66
1781090883.5543149,66
1781090883.5543203,66
1781090883.554357,2962
1781090883.5545266,66
1781090883.5624642,66
1781090883.6039186,66
1781090883.6043944,2962
1781090883.6218252,66
1781090883.6220129,2962
1781090883.6648002,66
1781090883.6648138,1514
1781090883.6648178,2962
1781090883.6880715,52
1781090883.7019563,66
1781090883.7020497,2962
1781090883.761307,2962
1781090883.769214,2962
1781090883.7814317,66
1781090883.7814329,66
1781090883.782083,66
1781090883.8324485,66
1781090883.8324873,2962
1781090883.8408868,2962
1781090883.8536503,66
1781090883.926498,2962
1781090883.9345865,1514
1781090883.9422493,2962
1781090883.9470563,66
1781090883.9470577,66
1781090883.9617229,2962
1781090883.9973986,66
1781090883.999531,66
1781090884.5030146,66
1781090884.5030866,2962
1781090884.5384405,66
1781090884.5385349,2962
1781090884.590956,66
1781090884.5910404,2962
1781090884.6005297,2962
1781090884.6414042,66
1781090884.6863248,2962
1781090884.687691,66
1781090884.688412,66
1781090884.6941824,1514
1781090884.7031727,2962
1781090884.7315826,66
1781090884.7316546,2962
1781090884.7449338,66
1781090884.7494774,66
1781090884.7494972,2962
1781090884.8009439,66
1781090884.8009624,2962
1781090885.4966493,66
1781090885.4966645,2962
1781090885.5493515,66
1781090885.5494907,2962
1781090885.5813432,66
1781090885.581406,2962
1781090885.623534,66
1781090885.6240456,1514
1781090885.6240535,2962
1781090885.6627736,66
1781090885.6629844,2962
1781090885.699552,66
1781090885.7000983,2962
1781090885.7256262,66
1781090885.7350562,2962
1781090885.7433152,66
1781090885.7626574,66
1781090885.7627125,2962
1781090885.8079813,2962
1781090885.8529458,66
1781090885.852951,66
1781090885.8529985,2962
1781090885.8876712,66
1781090885.8878212,1514
1781090885.8878305,2962
1781090886.2848973,52
1781090886.2943802,2962
1781090886.3185115,66
1781090886.3205264,2962
1781090886.3534799,66
1781090886.3725605,66
1781090886.3725734,2962
1781090886.511938,2962
1781090886.5206418,2962
1781090886.5293453,66
1781090886.565306,66
1781090886.56537,2962
1781090887.4985228,2962
1781090887.511542,66
1781090887.5115452,66
1781090887.5115464,66
1781090887.5115762,2962
1781090887.5617855,66
1781090887.5618248,2962
1781090887.5799284,2962
1781090887.5879037,2962
1781090887.604024,66
1781090887.6040268,66
1781090887.638024,66
1781090887.6380515,2962
1781090887.6470191,2962
1781090887.6544962,66
1781090887.689605,2962
1781090887.716183,66
1781090887.7172983,2962
1781090887.7211406,66
1781090887.7525287,2962
1781090887.7601354,2962
1781090887.7953713,66
1781090887.7953742,66
1781090887.814074,2962
1781090887.8162856,66
1781090887.8218112,2962
1781090887.8295906,66
1781090887.849637,2962
1781090887.8836255,66
1781090887.8836138,2962
1781090887.8883386,66
1781090887.9104166,66
1781090887.9104474,2962
1781090887.9353707,2962
1781090887.9648435,66
1781090887.9648678,1514
1781090887.964873,2962
1781090887.9660034,66
1781090888.001166,66
1781090888.0011983,2962
1781090888.021416,66
1781090888.021459,2962
1781090888.0827348,2962
1781090888.0861807,66
1781090888.0903454,2962
1781090888.1042688,66
1781090888.1286483,66
1781090888.1287227,2962
1781090888.154362,66
1781090888.1543846,2962
1781090888.2133431,2962
1781090888.2211666,2962
1781090888.223505,66
1781090888.223877,66
1781090888.2482202,2962
1781090888.259424,66
1781090888.2803528,66
1781090888.2803693,2962
1781090888.2833655,66
1781090888.2895677,2962
1781090888.3188734,2962
