ds,y
1781090878.4305727,2962
1781090878.4307537,66
1781090878.5002663,2962
1781090878.5008433,66
1781090878.509711,66
1781090878.5099034,2962
1781090878.5099692,1514
1781090878.5099816,2962
1781090878.5293148,2962
1781090878.5293105,66
1781090878.5295029,66
1781090878.5497828,66
1781090878.5499659,2962
1781090878.550042,2962
1781090878.560869,66
1781090878.5679982,1514
1781090878.5681763,66
1781090878.590942,1514
1781090878.591311,2962
1781090878.5914004,66
1781090878.5914733,66
1781090878.6104152,2962
1781090878.610489,66
1781090878.632106,66
1781090878.6321337,2962
1781090878.6334813,2962
1781090878.6432023,66
1781090878.6432061,2962
1781090878.65427,66
1781090878.6543348,2962
1781090878.6658523,66
1781090878.6731198,66
1781090878.6731484,2962
1781090878.6735268,66
1781090878.6934364,66
1781090878.6934595,2962
1781090878.6935246,2962
1781090878.7037537,66
1781090878.7083573,2962
1781090878.7084188,66
1781090878.7240207,2962
1781090878.7276187,2962
1781090878.7334213,66
1781090878.7461147,66
1781090878.74836,2962
1781090878.748393,66
1781090878.7665024,2962
1781090878.7665236,66
1781090878.7854788,66
1781090878.785485,2962
1781090878.785502,2962
1781090878.7951965,66
1781090878.8063998,2962
1781090878.8064446,66
1781090878.8064952,1514
1781090878.8064997,2962
1781090878.827246,66
1781090878.8273265,2962
1781090878.8273792,66
1781090878.8437018,66
1781090878.8439999,2962
1781090878.8441236,66
1781090878.8632383,1514
1781090878.8633044,66
1781090878.8733337,2962
1781090878.8733656,66
1781090878.8927019,1514
1781090878.8927755,66
1781090878.8971398,2962
1781090878.910348,2962
1781090878.9107683,2962
1781090879.495653,2962
1781090879.4956605,66
1781090879.4959903,66
1781090880.497574,66
1781090880.4983747,2962
1781090880.4985952,66
1781090880.5080004,2962
1781090880.5082207,66
1781090880.5258243,2962
1781090880.5278256,52
1781090880.5279615,66
1781090880.527964,66
1781090880.5279663,2962
1781090880.5393102,2962
1781090880.5503583,2962
1781090880.5550811,66
1781090880.5550826,66
1781090880.5664575,2962
1781090880.5664897,66
1781090880.5861235,66
1781090880.5861437,66
1781090880.5871646,2962
1781090880.5871882,66
1781090880.6067986,2962
1781090880.6068332,66
1781090880.6242347,2962
1781090880.6260657,2962
1781090880.6340456,2962
1781090880.644451,66
1781090880.6448383,2962
1781090880.653879,66
1781090880.6538808,66
1781090880.6717513,2962
1781090880.6740243,66
1781090880.6839893,66
1781090880.684145,1514
1781090880.6841655,1514
1781090880.6841705,2962
1781090880.6933184,2962
1781090880.7030482,66
1781090880.7038615,66
1781090880.7128468,2962
1781090880.7128663,66
1781090880.7323563,2962
1781090880.7323842,66
1781090880.7512155,66
1781090880.7515903,2962
1781090880.7515986,2962
1781090880.7609138,66
1781090880.770955,2962
1781090880.77098,66
1781090880.7902207,1514
1781090880.790242,66
1781090880.7995791,2962
1781090880.7996056,66
1781090880.8189662,66
1781090880.819019,2962
1781090880.819045,2962
1781090880.8291545,66
1781090880.838773,66
1781090880.838784,66
1781090880.8393679,2962
1781090880.8393822,66
1781090880.8584263,2962
1781090880.8584895,66
1781090880.8778727,2962
1781090880.8779483,66
1781090880.882762,2962
1781090880.8922648,2962
1781090880.8971415,2962
1781090880.911468,66
1781090880.91622,66
1781090880.9167461,2962
1781090880.9167583,66
1781090880.9363806,66
1781090880.9364328,1514
1781090880.9365058,66
1781090880.9465075,2962
1781090880.9465284,66
1781090880.9524179,2962
1781090880.9654424,2962
1781090880.9654722,66
1781090880.9815836,2962
1781090880.984767,2962
1781090880.9928167,66
1781090881.004009,2962
1781090881.0041358,66
1781090881.0235384,66
1781090881.0235436,2962
1781090881.023631,66
1781090881.0371714,1514
1781090881.037181,2962
1781090881.042935,2962
1781090881.0563676,66
1781090881.0622187,66
1781090881.0622778,2962
1781090881.0622985,66
1781090881.0634444,2962
1781090881.081357,2962
1781090881.0824647,66
1781090881.1010246,66
1781090881.1011062,1514
1781090881.1011398,66
1781090881.1107235,2962
1781090881.1108174,66
1781090881.1315699,2962
1781090881.131699,66
1781090881.1527407,66
1781090881.1527536,2962
1781090881.1528866,2962
1781090881.163661,66
1781090881.1636953,2962
1781090881.1742003,2962
1781090881.1826603,66
1781090881.1885066,66
1781090881.1885095,66
1781090881.1901398,2962
1781090881.1902347,66
1781090881.2091134,1514
1781090881.2091594,66
1781090881.2185705,2962
1781090881.2186954,66
1781090881.2373517,2962
1781090881.2374167,66
